propuesta,tipo,instituciones,programas,matricula,n_variantes,variantes,revisar,firma
SUBESPECIALIDAD MEDICA EN INFECTOLOGIA,Médica,1,1,1,1,SUBESPECIALIDAD MEDICA EN INFECTOLOGIA,una sola institución: puede ser un duplicado sin unir,INFECTOLOGIA MEDICA SUBESPECIALIDAD
MEDICINA INTENSIVA PEDIATRICA,Médica,1,1,1,1,MEDICINA INTENSIVA PEDIATRICA,una sola institución: puede ser un duplicado sin unir,INTENSIVA MEDICINA PEDIATRICA
PERINATOLOGIA PARA MATRONAS,Médica,1,1,1,1,PERINATOLOGIA PARA MATRONAS,una sola institución: puede ser un duplicado sin unir,MATRONA PERINATOLOGIA
SUBESPECIALIDAD EN NEUMOLOGIA PEDIATRICA,Médica,1,1,1,1,SUBESPECIALIDAD EN NEUMOLOGIA PEDIATRICA,una sola institución: puede ser un duplicado sin unir,NEUMOLOGIA PEDIATRICA SUBESPECIALIDAD
REHABILITACION ORAL,Odontológica,12,18,350,1,REHABILITACION ORAL,,ORAL REHABILITACION
IMPLANTOLOGIA BUCO MAXILOFACIAL,Odontológica,8,13,297,1,IMPLANTOLOGIA BUCO MAXILOFACIAL,,BUCO IMPLANTOLOGIA MAXILOFACIAL
ENDODONCIA,Odontológica,13,18,253,1,ENDODONCIA,,ENDODONCIA
ODONTOPEDIATRIA,Odontológica,13,13,176,2,DE ODONTOPEDIATRIA | ODONTOPEDIATRIA,unió varias formas: confirmar que sean la misma,ODONTOPEDIATRIA
PERIODONCIA,Odontológica,10,10,128,1,PERIODONCIA,,PERIODONCIA
IMAGENOLOGIA ORAL Y MAXILOFACIAL,Odontológica,7,8,114,1,IMAGENOLOGIA ORAL Y MAXILOFACIAL,,IMAGENOLOGIA MAXILOFACIAL ORAL
IMPLANTOLOGIA BUCO MAXILO FACIAL,Odontológica,3,3,112,1,IMPLANTOLOGIA BUCO MAXILO FACIAL,,BUCO FACIAL IMPLANTOLOGIA MAXILO
ORTODONCIA Y ORTOPEDIA DENTOMAXILOFACIAL,Odontológica,5,7,112,1,ORTODONCIA Y ORTOPEDIA DENTOMAXILOFACIAL,,DENTOMAXILOFACIAL ORTODONCIA ORTOPEDIA
REHABILITACION ORAL PROTESICA ESTETICA E IMPLANTOLOGICA,Odontológica,1,2,60,1,REHABILITACION ORAL PROTESICA ESTETICA E IMPLANTOLOGICA,una sola institución: puede ser un duplicado sin unir,ESTETICA IMPLANTOLOGICA ORAL PROTESICA REHABILITACION
